session,location,code_ocean_asset_id
707349_2024-06-06_10-41-41,s3://aind-open-data/707349_2024-06-06_10-41-41,e84cd5fa-44e9-4f37-89ac-287eaff77d04
707349_2024-06-07_10-07-00,s3://aind-open-data/707349_2024-06-07_10-07-00,97e6652b-3806-4e1a-94ad-ac369ea3cc19
707349_2024-06-10_09-09-12,s3://aind-open-data/707349_2024-06-10_09-09-12,b446c474-b8c2-4db8-9ec6-04547f1a2216
707349_2024-06-11_10-03-12,s3://aind-open-data/707349_2024-06-11_10-03-12,a05d3406-94fb-414a-8dd3-7d76aed2117e
707349_2024-06-12_09-22-06,s3://aind-open-data/707349_2024-06-12_09-22-06,60deb260-1a1e-4738-adac-c51be9c99aa6
707349_2024-06-13_09-59-13,s3://aind-open-data/707349_2024-06-13_09-59-13,608ab6fb-8b72-4382-963c-e004d87fd4e6
707349_2024-06-14_10-09-06,s3://aind-open-data/707349_2024-06-14_10-09-06,afca2c45-c515-4641-bdab-c718874f5ace
707349_2024-06-17_10-38-59,s3://aind-open-data/707349_2024-06-17_10-38-59,43100a21-d37c-4747-95ce-25e1a4e62f72
707349_2024-06-18_09-59-31,s3://aind-open-data/707349_2024-06-18_09-59-31,b9554fb4-6c33-49a8-b99d-b24b2ab8b829
707349_2024-06-19_10-49-25,s3://aind-open-data/707349_2024-06-19_10-49-25,7a09dcf2-c37f-48bc-ba9c-b4ff49da9272
707349_2024-06-20_10-22-01,s3://aind-open-data/707349_2024-06-20_10-22-01,5647f70b-0cda-4605-8e05-6e97f35495a0
707349_2024-06-21_10-22-12,s3://aind-open-data/707349_2024-06-21_10-22-12,1743818a-fd77-43b3-90a6-018899c5efb4
707349_2024-06-24_10-05-33,s3://aind-open-data/707349_2024-06-24_10-05-33,74a2dfef-5620-4c8b-8b9e-e55ad4212856
707349_2024-06-25_09-54-55,s3://aind-open-data/707349_2024-06-25_09-54-55,4ac700e2-b4df-4ef4-8f25-26f163c167a8
707349_2024-06-26_10-29-55,s3://aind-open-data/707349_2024-06-26_10-29-55,5ba0326f-5f94-4ee6-b172-83146588c1cb
707349_2024-06-27_09-48-13,s3://aind-open-data/707349_2024-06-27_09-48-13,e55e0d85-735a-4c18-883b-7885e19c72e4
707349_2024-06-28_09-55-06,s3://aind-open-data/707349_2024-06-28_09-55-06,c42438e6-7b61-455b-8acb-1f7aa655475e
713545_2024-04-08_12-07-27,s3://aind-open-data/713545_2024-04-08_12-07-27,48747dc0-24a4-45f0-ab11-5222810da968
713545_2024-04-10_11-31-17,s3://aind-open-data/713545_2024-04-10_11-31-17,a7f18645-e0db-485a-ae14-2e058b3311ad
713545_2024-04-11_12-30-58,s3://aind-open-data/713545_2024-04-11_12-30-58,98fe790a-6795-4804-a096-750b15fe5821
